ID,Week,Group,StO2,tHb,HbO2,dHb,Day,Date
DG031,8,T2,0.728,4.34,3.15952,1.18048,,17-Nov
DG032,1,T3,0.752,3.52,2.64704,0.87296,1,30-Sep
DG032,2,T3,0.711,4.71,3.34881,1.36119,8,7-Oct
DG032,3,T3,0.752,4.99,3.75248,1.23752,,14-Oct
DG032,4,T3,0.795,4.63,3.68085,0.94915,,21-Oct
DG032,6,T3,0.594,4.25,2.5245,1.7255,,4-Nov
DG033,1,T3,0.797,4.96,3.95312,1.00688,1,30-Sep
DG033,2,T3,0.804,4.62,3.71448,0.90552,8,7-Oct
DG033,3,T3,0.747,3.83,2.86101,0.96899,,14-Oct
DG033,4,T3,0.748,4.85,3.6278,1.2222,,21-Oct
DG033,5,T3,0.901,4.67,4.20767,0.46233,,28-Oct
DG033,6,T3,0.886,5.21,4.61606,0.59394,,4-Nov
DG033,7,T3,0.84,5.16,4.3344,0.8256,,11-Nov
DG033,8,T3,0.732,4.99,3.65268,1.33732,,18-Nov
DG034,1,T3,0.813,4.09,3.32517,0.76483,1,30-Sep
DG034,2,T3,0.802,4.78,3.83356,0.94644,8,7-Oct
DG034,3,T3,0.819,4.62,3.78378,0.83622,,14-Oct
DG034,4,T3,0.887,5.1,4.5237,0.5763,,21-Oct
DG034,5,T3,0.865,5.07,4.38555,0.68445,,28-Oct
DG034,7,T3,0.847,4.33,3.66751,0.66249,,11-Nov
DG034,8,T3,0.83,4.9,4.067,0.833,,18-Nov
